USDT_available,USDT_frozen,BTC_available,BTC_frozen,NetAsset
7434.89436665,77.5455,0.31011104,0.01,9994.7217196676
7434.89446665,-0,0.32011254,0.01,9994.2371825176
7357.36506665,77.5294,0.32011254,0.01,9994.2371825176
7357.36536665,-0,0.33011404,0.01,9993.92940473
7279.84536665,77.52,0.33011404,0.01,9993.92940473
7279.84626665,-0,0.34011554,0.01,9993.8789119328
7202.32726665,77.519,0.34011554,0.01,9993.906921176
7279.90850209,77.519,0.34011554,0,9995.6901412484
7279.90850209,77.519,0.33011554,0.01,9995.6935424038
7357.50123926,77.519,0.33011554,0,9996.0929112894
7357.50123926,77.519,0.32011554,0.01,9996.122621688
7435.10277775,77.519,0.32011554,0,9996.3950514546
7435.10277775,77.519,0.31011554,0.01,9996.3950514546
7512.70441625,77.519,0.31011554,0,9996.40989111
7512.70441625,77.519,0.30011554,0.01,9996.40989111
7590.30675486,77.519,0.30011554,0,9996.4432378078
7590.30675486,77.519,0.29011554,0.01,9996.4642458956
7655.28640171,77.519,0.29011554,0.001628,9996.8461346552
7667.92216287,77.519,0.29011554,0,9996.8479971752
7667.92216287,77.519,0.28011554,0.01,9996.8741075738
7745.55270571,77.519,0.28011554,0,9997.2977144806
7745.55270571,77.519,0.27011554,0.01,9997.3033167914
7823.18484879,77.519,0.27011554,0,9997.354176047
7823.18484879,77.519,0.26011554,0.01,9997.394693378
7900.83659481,77.519,0.26011554,0,9997.8952485254
7900.83659481,77.519,0.25011554,0.01,9997.9264623902
